track;balance
18102778;145
18144582;145
17638500;145
17919017;145
19026298;145
17605161;145
17638479;145
17959741;145
17962430;145
18153374;145
18143567;145
18133772;145
18904306;145
18122946;145
18111638;145
17835604;145
12552773;145
19063912;145
18136771;145
19052447;145
18135412;145
17835284;145
18135382;145
17605142;145
17963772;145
17612772;145
18206332;145
12611281;145
18153815;145
19103647;145
17913952;145
18135434;145
17612860;145
18033199;145
17951066;145
17957074;145
18137337;145
18102797;145
17835601;145
17962419;145
18135445;145
18147818;145
17959786;145
18048928;145
19052474;145
17435878;145
19006216;145
00232694;145
17638435;145
06563704;145
17605207;145
17913951;145
17600083;145
19026219;145
17437783;145
17914255;145
18163907;145
17564611;145
18161442;145
17638438;145
17607985;145
19060094;145
12600015;145
17605188;145
17957047;145
17947443;145
18218896;145
19013908;145
17605186;145
19008547;145
17962452;145
19010018;145
17914254;145
17962441;145
17962574;145
19103798;145
18113813;145
17450664;145
18932774;145
19005869;145
12600014;145
19103648;145
02207944;145
02207244;145
12600020;145
18149594;145
19029233;145
02208076;145
18936025;145
06601684;145
12649112;145
06563702;145
18111651;145
19017458;145
18056161;145
17851042;145
19005411;145
19018636;145
19060092;145
18927800;145
18111670;145
12650280;145
17959785;145
17919058;145
18133777;145
19103797;145
02151679;145
18958201;145
17525411;145
19033869;145
17632072;145
18111831;145
17957069;145
18113769;145
18332932;145
17913930;145
17841171;145
17612902;145
17961413;145
17835083;145
01159301;145
06600752;145
18136793;145
18153396;145
18204326;145
18114053;145
18136517;145
18137906;145
17632575;145
17624159;145
18204327;145
18206288;145
17963355;145
18924102;145
18900953;145
18323884;145
19063911;145
17608954;145
19020907;145
19052457;145
19008177;145
18161070;145
18900974;145
19001975;145
17962538;145
18133767;145
12551298;145
17961549;145
19004605;145
19063908;145
19025326;145
17962463;145
17608875;145
18122535;145
18159646;145
18943446;145
18111660;145
19028783;145
18055258;145
17608007;145
18035966;145
18135423;145
12600021;145
18942651;145
18900963;145
17608826;145
17961542;145
18046063;145
17938786;145
17961435;145
19059967;145
17940949;145
18137359;145
18323891;145
17608853;145
18964976;145
18118280;145
19027800;145
18954479;145
17607992;145
18020441;145
17940596;145
18328489;145
17933827;145
18141949;145
18124609;145
17939016;145
18124618;145
18122861;145
18204303;145
17922704;145
18137911;145
17437306;145
17624203;145
17435922;145
19020576;145
17439121;145
17918009;145
18118281;145
18137884;145
18119213;145
17959720;145
18134888;145
19054096;145
12600028;145
17918031;145
02155688;145
12644162;145
19008664;145
18122974;145
18204612;145
17512990;145
18048563;145
19031671;145
17608804;145
18331795;145
17608848;145
18118259;145
18161079;145
18033218;145
18136816;145
18137927;145
18111600;145
18137867;145
12551294;145
17638461;145
18116764;145
18005032;145
18328496;145
18124516;145
18124538;145
12551296;145
17841150;145
12551408;145
18331468;145
19017609;145
17934037;145
18111846;145
18332931;145
17941440;145
18153418;145
17931921;145
19065257;145
18931646;145
17909854;145
18941370;145
18332953;145
17437240;145
18124535;145
18033228;145
18113744;145
18936597;145
19103809;145
01200886;145
19046264;145
02208093;145
18218921;145
18013734;145
12652190;145
12600024;145
17938808;145
17963340;145
18952293;145
17439022;145
18035985;145
17909832;145
18048497;145
18013713;145
17530574;145
17525418;145
12656584;145
17638457;145
18114034;145
18321443;145
17608870;145
18046085;145
17950885;145
18046041;145
19103642;145
17952830;145
18161124;145
17851021;145
19060091;145
17600004;145
18900966;145
18204348;145
19052455;145
18900965;145
18900946;145
18137912;145
19024982;145
18144672;145
18033193;145
18900964;145
18138537;145
18924099;145
12656583;145
18140443;145
18138546;145
18129679;145
18122936;145
18122943;145
18926622;145
12649298;145
18159027;145
18900954;145
18204634;145
18934231;145
18206301;145
18927294;145
19102095;145
18149704;145
18149682;145
18204304;145
17962575;145
18218940;145
18321156;145
18328575;145
19030777;145
19029403;145
17838325;145
18123636;145
12600025;145
19065254;145
19103646;145
18149623;145
18046074;145
18149689;145
18950637;145
19103806;145
17437762;145
18331466;145
17835584;145
18141971;145
17962562;145
12654018;145
17941435;145
19103802;145
17940940;145
17512968;145
18149579;145
17435929;145
17938805;145
12611289;145
17600105;145
19052475;145
18116786;145
17835282;145
19017901;145
18149572;145
17438989;145
17939019;145
17941457;145
18331532;145
17962553;145
19023027;145
17909839;145
19008637;145
17918298;145
02208098;145
19025901;145
17963785;145
17941396;145
19054090;145
17439003;145
17962573;145
18114056;145
17838366;145
18056174;145
19025573;145
17835260;145
17835577;145
18149616;145
19030170;145
17918026;145
19035172;145
18149557;145
18048541;145
19003153;145
17564622;145
18122823;145
18122814;145
17963274;145
18315667;145
17610388;145
18122557;145
18122914;145
18315966;145
19008856;145
06744170;145
19103645;145
17933839;145
18245616;145
19103649;145
12611283;145
18924237;145
18900967;145
12600022;145
18161092;145
17439025;145
01200865;145
18007849;145
18163989;145
18331427;145
18144603;145
17835323;145
18007808;145
18900949;145
06601686;145
19054102;145
18321135;145
17931943;145
01213009;145
18137370;145
17933783;145
17624225;145
19008418;145
17959763;145
18900960;145
18138022;145
18149660;145
19002555;145
18331422;145
18122892;145
18949238;145
18111601;145
17962518;145
18145208;145
12653116;145
18218918;145
18149645;145
17838344;145
19103650;145
02207917;145
17565509;145
19103683;145
18033041;145
12653297;145
18102656;145
17612792;145
19102094;145
02208071;145
18149601;145
17564633;145
17835328;145
06603311;145
18935144;145
12619721;145
19065253;145
17835606;145
18119525;145
17441679;145
19013625;145
17439000;145
17962552;145
18339079;145
18141936;145
18122890;145
18122901;145
17565496;145
18145230;145
17607970;145
18147793;145
18122863;145
18122996;145
18138000;145
18013081;145
17612927;145
18204611;145
17933850;145
18007871;145
19103686;145
18900947;145
01200842;145
18331449;145
17835281;145
18133760;145
18102675;145
17605205;145
18122993;145
01212987;145
18161135;145
18159339;145
18137326;145
17933794;145
12600026;145
17565487;145
18952849;145
17962485;145
17828109;145
18161431;145
18138015;145
19103808;145
18929162;145
18928812;145
19014292;145
19018441;145
17933805;145
02208181;145
18007812;145
17835326;145
18124640;145
18948782;145
17950900;145
17962496;145
02151882;145
18119503;145
17601736;145
19054098;145
18123587;145
18045958;145
18129668;145
18326652;145
18900962;145
17962474;145
18123631;145
17835279;145
06601683;145
17563170;145
02207922;145
18102756;145
12611280;145
18020753;145
17962473;145
19103684;145
19033382;145
19046265;145
17612879;145
17512949;145
19103801;145
18328586;145
18123543;145
18144537;145
18331471;145
18900968;145
17962507;145
19102089;145
18123614;145
17962560;145
18900972;145
17933816;145
18144559;145
18144538;145
19026498;145
17624181;145
18147794;145
17632050;145
18122899;145
01159324;145
17959719;145
17959764;145
18323875;145
18333001;145
18323878;145
18323856;145
18323812;145
18323853;145
17963529;145
17963498;145
17963520;145
17963507;145
18315951;145
17963761;145
17963752;145
17963485;145
17963318;145
18952457;145
17638478;145
18111607;145
18020751;145
18323834;145
18323874;145
18323809;145
18323831;145
17514708;145
17963476;145
18331515;145
18032870;145
18048626;145
18331512;145
18320937;145
